buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.01,0.96,250,49.09,4.07,-63.47,0.19
1.01,0.96,240,44.42,3.74,-65.14,0.18
1.0,0.96,250,37.34,3.22,-66.35,0.17
1.02,0.96,240,27.96,2.5,-65.89,0.14
1.01,0.95,250,27.6,2.47,-65.99,0.15
1.02,0.96,250,26.06,2.34,-66.4,0.14
1.0,0.96,240,24.89,2.25,-69.85,0.14
1.09,0.89,120,22.86,2.08,-76.6,0.14
1.1,0.89,120,22.86,2.08,-76.6,0.14
1.01,0.94,250,21.9,2.0,-67.51,0.14
1.04,0.9,200,21.7,1.98,-73.97,0.15
1.02,0.9,180,21.67,1.98,-75.44,0.16
1.01,0.95,240,20.82,1.91,-67.8,0.13
1.02,0.9,200,20.72,1.9,-75.63,0.15
1.04,0.9,180,19.83,1.83,-73.97,0.15
1.09,0.88,120,19.46,1.79,-77.25,0.13
1.1,0.88,120,19.46,1.79,-77.25,0.13
1.11,0.89,120,19.07,1.76,-77.32,0.13
1.02,0.89,180,18.18,1.68,-75.53,0.15
1.02,0.9,250,18.03,1.67,-73.97,0.15
1.03,0.9,240,18.03,1.67,-73.97,0.15
1.03,0.89,240,18.03,1.67,-73.97,0.15
1.02,0.89,240,18.03,1.67,-73.97,0.15
1.02,0.9,240,18.03,1.67,-73.97,0.15
1.01,0.9,250,18.03,1.67,-73.97,0.15
1.01,0.89,250,18.03,1.67,-73.97,0.15
1.02,0.89,250,18.03,1.67,-73.97,0.15
1.01,0.97,250,17.88,1.66,-68.58,0.12
1.03,0.9,200,17.74,1.65,-76.23,0.14
1.03,0.9,180,17.21,1.6,-75.69,0.14
1.04,0.89,180,16.83,1.57,-73.97,0.14
1.03,0.9,250,16.83,1.57,-73.97,0.14
1.03,0.89,250,16.83,1.57,-73.97,0.14
1.01,0.97,240,16.6,1.55,-68.92,0.11
1.0,0.95,250,16.12,1.51,-69.05,0.12
1.03,0.96,240,16.05,1.5,-69.07,0.11
1.11,0.88,120,15.78,1.48,-77.95,0.12
1.08,0.89,120,15.19,1.42,-75.54,0.12
1.04,0.89,240,14.88,1.4,-73.97,0.14
1.04,0.9,240,14.88,1.4,-73.97,0.14
1.04,0.9,250,14.88,1.4,-73.97,0.14
1.04,0.89,250,14.88,1.4,-73.97,0.14
1.1,0.87,120,14.62,1.37,-78.17,0.12
1.09,0.87,120,14.62,1.37,-78.17,0.12
1.03,0.88,240,14.34,1.35,-73.97,0.14
1.02,0.88,250,14.34,1.35,-73.97,0.14
1.01,0.88,250,14.34,1.35,-73.97,0.14
1.02,0.88,240,14.34,1.35,-73.97,0.14
1.03,0.89,180,13.85,1.31,-75.78,0.14
1.05,0.9,200,13.65,1.29,-73.97,0.13
1.03,0.88,250,13.18,1.25,-73.97,0.13
1.03,0.96,250,13.16,1.24,-69.53,0.1
1.04,0.96,240,12.95,1.22,-69.07,0.1
1.08,0.88,120,12.0,1.14,-76.22,0.11
1.12,0.89,180,11.45,1.09,-75.86,0.1
1.12,0.9,180,11.45,1.09,-75.86,0.1
1.05,0.89,240,11.39,1.08,-73.97,0.13
1.04,0.89,200,11.39,1.08,-73.97,0.13
1.05,0.9,240,11.39,1.08,-73.97,0.13
1.04,0.88,250,11.29,1.08,-73.97,0.13
1.04,0.88,240,11.29,1.08,-73.97,0.13
1.04,0.96,250,11.27,1.07,-69.53,0.1
1.11,0.87,120,11.09,1.06,-78.84,0.11
1.01,0.94,240,10.73,1.02,-70.49,0.12
1.01,0.93,250,10.26,0.98,-70.61,0.12
1.01,0.9,200,10.16,0.97,-77.76,0.13
1.0,0.95,180,10.09,0.97,-76.57,0.11
1.04,0.95,180,10.07,0.96,-68.43,0.09
1.0,0.9,250,9.81,0.94,-75.78,0.13
1.02,0.89,200,9.81,0.94,-75.78,0.13
1.05,0.96,240,9.52,0.91,-69.07,0.09
1.12,0.89,120,9.45,0.91,-75.82,0.09
1.0,0.97,250,9.39,0.9,-70.84,0.1
1.0,0.89,250,8.79,0.85,-76.01,0.13
1.02,0.97,240,8.29,0.8,-71.14,0.08
1.05,0.9,250,8.15,0.79,-73.97,0.12
1.05,0.89,250,8.15,0.79,-73.97,0.12
1.05,0.88,240,7.91,0.76,-73.97,0.12
1.02,0.95,240,7.89,0.76,-71.24,0.1
1.02,0.95,250,7.89,0.76,-71.24,0.1
1.0,0.94,250,7.74,0.75,-71.28,0.11
1.01,0.9,240,7.51,0.73,-76.29,0.12
1.01,0.89,240,7.1,0.69,-76.38,0.12
1.03,0.89,200,7.1,0.69,-76.38,0.12
1.08,0.87,120,7.1,0.69,-77.18,0.1
1.12,0.88,120,6.42,0.62,-76.49,0.08
1.02,0.87,240,5.43,0.53,-75.54,0.12
1.03,0.87,240,5.43,0.53,-75.54,0.12
1.01,0.9,180,5.4,0.53,-79.62,0.12
1.0,0.88,250,5.39,0.53,-76.01,0.12
1.04,0.97,240,5.09,0.5,-71.22,0.07
1.05,0.88,250,4.77,0.47,-73.97,0.11
1.05,0.96,250,4.76,0.47,-69.53,0.08
1.12,0.88,180,4.71,0.46,-77.32,0.09
1.04,0.88,200,4.66,0.46,-75.54,0.11
1.02,0.95,200,4.56,0.45,-72.13,0.08
1.02,0.97,250,4.48,0.44,-72.15,0.07
1.06,0.9,180,4.25,0.42,-73.97,0.11
1.05,0.9,180,4.25,0.42,-73.97,0.11
1.06,0.9,200,4.25,0.42,-73.97,0.11
1.05,0.89,200,4.02,0.4,-73.97,0.11
1.09,0.85,60,3.33,0.33,-80.32,0.09
1.08,0.88,60,3.33,0.33,-80.32,0.09
1.08,0.87,60,3.33,0.33,-80.32,0.09
1.08,0.85,60,3.33,0.33,-80.32,0.09
1.08,0.86,60,3.33,0.33,-80.32,0.09
1.09,0.88,60,3.33,0.33,-80.32,0.09
1.09,0.86,60,3.33,0.33,-80.32,0.09
1.09,0.87,60,3.33,0.33,-80.32,0.09
1.02,0.94,200,3.31,0.33,-72.46,0.08
1.02,0.94,250,3.07,0.3,-72.53,0.09
1.04,0.88,180,3.04,0.3,-75.54,0.11
1.03,0.97,240,2.88,0.28,-72.58,0.06
1.01,0.88,240,2.79,0.28,-76.6,0.11
1.11,0.9,180,2.71,0.27,-75.09,0.08
1.04,0.87,240,2.62,0.26,-75.54,0.11
1.02,0.88,180,2.59,0.26,-77.37,0.11
1.12,0.87,120,2.11,0.21,-77.44,0.07
1.13,0.92,60,2.0,0.2,-55.27,-0.08
1.11,0.89,180,2.0,0.2,-75.09,0.08
1.05,0.97,240,1.9,0.19,-71.22,0.06
1.04,0.96,200,1.86,0.18,-71.23,0.06
1.12,0.87,180,1.81,0.18,-77.95,0.08
1.02,0.88,200,1.77,0.18,-77.56,0.11
1.01,0.93,240,1.72,0.17,-72.89,0.09
1.13,0.89,200,1.65,0.16,-74.26,0.06
1.13,0.9,200,1.65,0.16,-74.26,0.06
1.05,0.89,180,1.64,0.16,-73.97,0.1
1.06,0.89,180,1.64,0.16,-73.97,0.1
1.0,0.97,240,1.58,0.16,-72.92,0.07
1.03,0.95,180,1.56,0.15,-72.19,0.07
1.18,0.97,60,1.5,0.15,-10.02,-1.04
1.18,0.96,60,1.5,0.15,-10.02,-1.04
1.17,0.96,60,1.5,0.15,-10.02,-1.04
1.17,0.97,60,1.5,0.15,-10.02,-1.04
1.04,0.95,200,1.46,0.15,-71.34,0.07
1.04,0.94,200,1.46,0.15,-71.34,0.07
1.04,0.97,250,1.39,0.14,-72.24,0.06
1.04,0.87,200,1.39,0.14,-75.54,0.1
1.01,0.89,180,1.29,0.13,-79.91,0.11
1.01,0.87,250,1.28,0.13,-75.54,0.11
1.02,0.87,250,1.28,0.13,-75.54,0.11
1.01,0.95,180,0.88,0.09,-74.25,0.07
1.08,1.0,120,0.79,0.08,-48.27,-0.04
1.03,0.95,200,0.55,0.05,-73.2,0.07
1.02,0.94,240,0.51,0.05,-73.21,0.08
1.13,0.89,180,0.47,0.05,-74.26,0.06
1.13,0.9,180,0.47,0.05,-74.26,0.06
1.09,1.0,120,0.38,0.04,-50.51,-0.05
1.03,0.87,250,0.25,0.02,-75.54,0.1
1.04,0.87,180,0.19,0.02,-76.22,0.1
1.13,0.89,120,0.17,0.02,-75.82,0.06
1.03,0.94,200,0.14,0.01,-73.31,0.07
1.17,0.94,60,0.11,0.01,-11.26,-1.07
1.17,0.95,60,0.11,0.01,-11.26,-1.07
1.18,0.95,60,0.11,0.01,-11.26,-1.07
1.18,0.94,60,0.11,0.01,-11.26,-1.07
1.0,0.95,240,0.05,0.0,-73.33,0.08
1.2,1.0,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.99,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.99,180,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.88,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.96,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.94,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.95,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.96,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.89,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.98,120,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.87,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.88,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.9,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.89,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.71,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.72,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,1.0,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.97,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.99,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.98,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.85,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.86,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.83,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.84,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.82,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.93,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.76,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.77,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.74,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.8,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.81,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.82,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.78,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.79,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.72,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.73,120,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.79,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.78,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.77,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.91,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.81,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.9,60,0.0,0.0,0.0,-9.294372190689888e+16
