buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.01,0.96,240,38.15,3.28,-49.42,0.09
1.01,0.96,250,38.06,3.28,-46.49,0.08
1.0,0.96,250,32.93,2.89,-47.98,0.06
1.02,0.96,240,29.9,2.65,-47.93,0.06
1.02,0.9,180,29.16,2.59,-59.0,0.09
1.01,0.95,250,29.11,2.59,-45.92,0.05
1.04,0.9,200,28.41,2.53,-55.4,0.07
1.02,0.96,250,28.36,2.53,-46.12,0.04
1.0,0.96,240,28.24,2.52,-52.36,0.06
1.02,0.9,200,28.23,2.52,-57.84,0.07
1.09,0.89,120,27.66,2.47,-62.41,0.07
1.1,0.89,120,27.64,2.47,-61.7,0.07
1.04,0.9,180,27.52,2.46,-57.96,0.08
1.02,0.89,180,27.12,2.43,-57.26,0.07
1.01,0.94,250,27.07,2.42,-46.37,0.04
1.02,0.9,240,26.42,2.37,-51.48,0.04
1.03,0.9,240,26.32,2.36,-50.65,0.04
1.03,0.9,200,26.29,2.36,-58.38,0.07
1.02,0.89,240,26.24,2.36,-49.1,0.03
1.02,0.9,250,26.23,2.36,-49.5,0.04
1.01,0.95,240,26.22,2.36,-47.98,0.04
1.01,0.89,250,26.15,2.35,-48.41,0.03
1.01,0.9,250,26.14,2.35,-48.7,0.03
1.03,0.9,180,26.14,2.35,-59.6,0.08
1.03,0.89,240,26.12,2.35,-48.4,0.03
1.02,0.89,250,26.12,2.35,-48.33,0.03
1.04,0.89,180,25.89,2.33,-56.04,0.06
1.03,0.9,250,25.72,2.32,-48.66,0.03
1.03,0.89,250,25.65,2.31,-48.07,0.03
1.1,0.88,120,25.58,2.3,-61.93,0.06
1.09,0.88,120,25.54,2.3,-62.67,0.06
1.11,0.89,120,25.33,2.28,-61.48,0.06
1.04,0.89,240,25.14,2.27,-48.27,0.03
1.04,0.9,240,25.12,2.27,-50.26,0.03
1.04,0.89,250,25.1,2.26,-47.97,0.02
1.04,0.9,250,25.1,2.26,-48.43,0.03
1.02,0.88,250,25.08,2.26,-48.99,0.03
1.01,0.88,250,25.08,2.26,-49.23,0.03
1.02,0.88,240,25.07,2.26,-50.99,0.04
1.03,0.88,240,25.06,2.26,-50.97,0.04
1.03,0.88,250,24.66,2.23,-48.92,0.03
1.03,0.89,180,24.41,2.21,-57.68,0.06
1.01,0.97,250,24.37,2.2,-46.36,0.03
1.05,0.89,240,24.13,2.18,-47.93,0.02
1.0,0.95,250,24.08,2.18,-47.51,0.03
1.05,0.9,200,24.07,2.18,-54.94,0.05
1.04,0.88,250,24.06,2.18,-48.57,0.02
1.05,0.9,240,23.91,2.17,-49.09,0.02
1.04,0.88,240,23.86,2.16,-50.58,0.03
1.0,0.9,250,23.7,2.15,-50.82,0.02
1.03,0.96,240,23.62,2.14,-47.08,0.03
1.01,0.97,240,23.58,2.14,-48.05,0.03
1.05,0.89,250,23.46,2.13,-47.4,0.01
1.11,0.88,120,23.45,2.13,-61.66,0.05
1.0,0.89,250,23.32,2.12,-51.2,0.02
1.05,0.9,250,23.26,2.11,-47.78,0.01
1.1,0.87,120,22.93,2.09,-62.14,0.05
1.04,0.89,200,22.91,2.08,-56.43,0.05
1.09,0.87,120,22.79,2.07,-62.9,0.05
1.08,0.89,120,22.78,2.07,-60.22,0.05
1.03,0.96,250,22.58,2.06,-45.48,0.02
1.05,0.88,240,22.55,2.05,-50.29,0.02
1.01,0.89,240,22.48,2.05,-50.41,0.02
1.2,0.74,60,22.44,2.04,-43.54,-0.02
1.19,0.74,60,22.44,2.04,-43.54,-0.02
1.2,0.75,60,22.38,2.04,-43.47,-0.02
1.19,0.75,60,22.38,2.04,-43.47,-0.02
1.01,0.9,200,22.38,2.04,-59.55,0.06
1.01,0.93,250,22.22,2.03,-47.01,0.02
1.01,0.9,240,22.21,2.03,-52.17,0.03
1.02,0.89,200,22.13,2.02,-58.24,0.06
1.04,0.96,240,22.07,2.01,-46.82,0.02
1.0,0.88,250,22.02,2.01,-51.67,0.02
1.01,0.94,240,22.01,2.01,-48.86,0.03
1.17,0.74,60,21.85,2.0,-44.34,-0.02
1.03,0.87,240,21.82,1.99,-51.03,0.02
1.02,0.87,240,21.82,1.99,-51.05,0.02
1.05,0.88,250,21.82,1.99,-48.4,0.01
1.16,0.74,60,21.8,1.99,-46.22,-0.01
1.17,0.75,60,21.77,1.99,-44.29,-0.02
1.04,0.96,250,21.75,1.99,-45.45,0.01
1.16,0.75,60,21.72,1.98,-46.24,-0.01
1.18,0.74,60,21.64,1.98,-44.23,-0.02
1.15,0.74,60,21.6,1.97,-47.24,-0.01
1.18,0.75,60,21.56,1.97,-44.18,-0.02
1.15,0.75,60,21.52,1.97,-47.3,-0.01
1.19,0.71,60,21.47,1.96,-42.29,-0.03
1.2,0.72,60,21.47,1.96,-42.29,-0.03
1.19,0.72,60,21.47,1.96,-42.29,-0.03
1.19,0.73,60,21.47,1.96,-42.29,-0.03
1.2,0.71,60,21.47,1.96,-42.29,-0.03
1.2,0.73,60,21.47,1.96,-42.29,-0.03
1.12,0.89,180,21.42,1.96,-56.9,0.02
1.14,0.74,60,21.36,1.95,-47.41,-0.01
1.14,0.75,60,21.26,1.95,-47.47,-0.01
1.11,0.87,120,21.02,1.93,-61.81,0.04
1.0,0.94,250,21.0,1.92,-48.31,0.02
1.12,0.9,180,20.95,1.92,-58.66,0.03
1.08,0.88,120,20.94,1.92,-60.38,0.04
1.02,0.87,250,20.87,1.91,-49.34,0.01
1.04,0.87,240,20.82,1.91,-50.62,0.02
1.01,0.87,250,20.78,1.91,-49.46,0.01
1.18,0.73,60,20.66,1.9,-43.64,-0.03
1.18,0.72,60,20.66,1.9,-43.64,-0.03
1.18,0.71,60,20.66,1.9,-43.64,-0.03
1.05,0.96,240,20.63,1.89,-46.05,0.01
1.03,0.87,250,20.51,1.88,-49.31,0.01
1.0,0.97,250,20.39,1.87,-47.75,0.01
1.02,0.95,250,20.36,1.87,-45.61,0.01
1.03,0.89,200,20.25,1.86,-58.79,0.05
1.13,0.74,60,20.23,1.86,-48.16,-0.02
1.01,0.88,240,20.23,1.86,-52.64,0.02
1.13,0.75,60,20.09,1.85,-48.24,-0.02
1.04,0.87,250,20.08,1.85,-49.17,0.01
1.17,0.72,60,19.92,1.83,-43.2,-0.04
1.17,0.71,60,19.92,1.83,-43.2,-0.04
1.17,0.73,60,19.92,1.83,-43.2,-0.04
1.02,0.95,240,19.87,1.83,-46.49,0.02
1.06,0.89,250,19.77,1.82,-47.16,-0.01
1.03,0.86,240,19.72,1.82,-50.01,0.01
1.02,0.86,240,19.72,1.82,-50.03,0.01
1.05,0.87,240,19.69,1.81,-50.32,0.01
1.02,0.86,250,19.61,1.81,-49.44,0.0
1.12,0.89,120,19.6,1.81,-59.61,0.03
1.05,0.96,250,19.56,1.8,-44.21,-0.01
1.01,0.86,250,19.49,1.8,-49.54,0.0
1.01,0.9,180,19.45,1.79,-62.98,0.06
1.12,0.74,60,19.37,1.79,-49.32,-0.02
1.03,0.86,250,19.29,1.78,-49.41,0.0
1.11,0.74,60,19.27,1.78,-50.32,-0.01
1.04,0.88,200,19.24,1.77,-57.19,0.04
1.12,0.75,60,19.21,1.77,-49.44,-0.02
1.02,0.97,240,19.19,1.77,-46.79,0.01
1.06,0.9,200,19.14,1.77,-54.36,0.03
1.11,0.75,60,19.1,1.76,-50.47,-0.01
1.06,0.89,240,19.02,1.76,-47.36,-0.01
1.06,0.9,250,19.01,1.76,-47.5,-0.01
1.16,0.73,60,18.95,1.75,-47.03,-0.03
1.16,0.71,60,18.95,1.75,-47.03,-0.03
1.16,0.72,60,18.95,1.75,-47.03,-0.03
1.04,0.86,250,18.94,1.75,-49.27,-0.0
1.04,0.86,240,18.91,1.75,-49.78,0.0
1.02,0.94,250,18.71,1.73,-46.09,0.01
1.1,0.74,60,18.64,1.72,-52.02,-0.01
1.05,0.89,200,18.5,1.71,-56.0,0.04
1.15,0.71,60,18.5,1.71,-49.29,-0.02
1.15,0.73,60,18.5,1.71,-49.29,-0.02
1.15,0.72,60,18.5,1.71,-49.29,-0.02
1.0,0.95,180,18.48,1.71,-64.68,0.06
1.1,0.75,60,18.46,1.71,-52.22,-0.01
1.02,0.88,180,18.37,1.7,-59.06,0.04
1.08,0.74,60,18.34,1.7,-53.05,-0.01
1.09,0.74,60,18.34,1.7,-53.05,-0.01
1.01,0.92,250,18.31,1.7,-45.74,-0.0
1.08,0.87,120,18.28,1.69,-60.56,0.03
1.05,0.9,180,18.16,1.68,-56.5,0.04
1.06,0.9,180,18.15,1.68,-56.52,0.04
1.09,0.75,60,18.15,1.68,-53.27,-0.01
1.08,0.75,60,18.15,1.68,-53.27,-0.01
1.04,0.88,180,18.05,1.67,-57.66,0.04
1.05,0.87,250,18.04,1.67,-49.11,-0.0
1.12,0.88,120,18.03,1.67,-59.81,0.02
1.13,0.72,60,18.01,1.67,-49.61,-0.03
1.13,0.73,60,18.01,1.67,-49.61,-0.03
1.13,0.71,60,18.01,1.67,-49.61,-0.03
1.14,0.72,60,18.01,1.67,-49.61,-0.03
1.14,0.71,60,18.01,1.67,-49.61,-0.03
1.14,0.73,60,18.01,1.67,-49.61,-0.03
1.05,0.86,240,17.97,1.67,-49.66,-0.0
1.02,0.82,180,17.94,1.66,-58.85,0.04
1.01,0.89,180,17.9,1.66,-61.35,0.04
1.01,0.93,240,17.89,1.66,-49.4,0.01
1.0,0.87,250,17.85,1.66,-52.26,0.0
1.02,0.97,250,17.78,1.65,-46.06,-0.0
1.04,0.97,240,17.75,1.65,-46.22,-0.01
1.05,0.89,180,17.66,1.64,-54.49,0.02
1.07,0.9,200,17.66,1.64,-52.09,0.01
1.06,0.89,180,17.65,1.64,-54.5,0.02
1.04,0.87,200,17.6,1.63,-56.59,0.03
1.02,0.88,200,17.58,1.63,-59.22,0.04
1.04,0.95,180,17.56,1.63,-54.04,0.04
1.11,0.72,60,17.51,1.63,-51.96,-0.02
1.11,0.71,60,17.51,1.63,-51.96,-0.02
1.11,0.73,60,17.51,1.63,-51.96,-0.02
1.06,0.9,240,17.51,1.63,-48.02,-0.01
1.12,0.73,60,17.37,1.61,-50.86,-0.02
1.12,0.71,60,17.37,1.61,-50.86,-0.02
1.12,0.72,60,17.37,1.61,-50.86,-0.02
1.01,0.87,240,17.32,1.61,-52.62,0.01
1.12,0.88,180,17.12,1.59,-59.98,0.02
1.19,0.76,60,17.08,1.59,-36.09,-0.11
1.2,0.76,60,17.08,1.59,-36.09,-0.11
1.05,0.86,250,17.06,1.59,-49.2,-0.01
1.02,0.94,240,17.05,1.59,-47.17,0.01
1.04,0.87,180,17.02,1.58,-56.99,0.03
1.1,0.71,60,16.89,1.57,-53.94,-0.01
1.1,0.72,60,16.89,1.57,-53.94,-0.01
1.1,0.73,60,16.89,1.57,-53.94,-0.01
1.02,0.85,250,16.64,1.55,-49.57,-0.01
1.0,0.86,250,16.62,1.55,-52.23,-0.0
