buy,sell,total_ret,cagr,max_dd,sharpe
1.0,0.82,4873.59,27.68,-55.04,0.75
1.0,0.83,4873.59,27.68,-55.04,0.75
1.01,0.82,4841.68,27.63,-55.27,0.75
1.01,0.83,4841.68,27.63,-55.27,0.75
1.02,0.83,4764.96,27.51,-54.88,0.75
1.02,0.82,4764.96,27.51,-54.88,0.75
1.03,0.83,4690.59,27.38,-54.45,0.75
1.03,0.82,4690.59,27.38,-54.45,0.75
1.04,0.82,4690.59,27.38,-54.45,0.75
1.04,0.83,4690.59,27.38,-54.45,0.75
1.0,0.81,4681.06,27.37,-56.45,0.74
1.0,0.8,4657.15,27.33,-56.62,0.74
1.01,0.81,4650.73,27.32,-56.67,0.74
1.01,0.8,4627.03,27.28,-56.84,0.74
1.02,0.81,4577.8,27.19,-56.29,0.74
1.02,0.8,4554.57,27.15,-56.47,0.74
1.03,0.81,4507.08,27.07,-55.89,0.74
1.04,0.81,4507.08,27.07,-55.89,0.74
1.04,0.8,4484.3,27.03,-56.06,0.74
1.03,0.8,4484.3,27.03,-56.06,0.74
1.05,0.83,4358.64,26.81,-53.07,0.74
1.05,0.82,4358.64,26.81,-53.07,0.74
1.08,0.71,4270.93,26.66,-65.66,0.71
1.08,0.72,4270.93,26.66,-65.66,0.71
1.08,0.74,4270.93,26.66,-65.66,0.71
1.08,0.75,4270.93,26.66,-65.66,0.71
1.08,0.76,4270.93,26.66,-65.66,0.71
1.05,0.72,4270.93,26.66,-65.66,0.71
1.02,0.76,4270.93,26.66,-65.66,0.71
1.06,0.73,4270.93,26.66,-65.66,0.71
1.04,0.73,4270.93,26.66,-65.66,0.71
1.05,0.71,4270.93,26.66,-65.66,0.71
1.05,0.74,4270.93,26.66,-65.66,0.71
1.0,0.71,4270.93,26.66,-65.66,0.71
1.05,0.73,4270.93,26.66,-65.66,0.71
1.0,0.75,4270.93,26.66,-65.66,0.71
1.0,0.76,4270.93,26.66,-65.66,0.71
1.08,0.73,4270.93,26.66,-65.66,0.71
1.01,0.73,4270.93,26.66,-65.66,0.71
1.01,0.76,4270.93,26.66,-65.66,0.71
1.01,0.74,4270.93,26.66,-65.66,0.71
1.01,0.75,4270.93,26.66,-65.66,0.71
1.01,0.72,4270.93,26.66,-65.66,0.71
1.02,0.71,4270.93,26.66,-65.66,0.71
1.02,0.72,4270.93,26.66,-65.66,0.71
1.07,0.71,4270.93,26.66,-65.66,0.71
1.07,0.73,4270.93,26.66,-65.66,0.71
1.07,0.72,4270.93,26.66,-65.66,0.71
1.06,0.74,4270.93,26.66,-65.66,0.71
1.06,0.75,4270.93,26.66,-65.66,0.71
1.06,0.76,4270.93,26.66,-65.66,0.71
1.06,0.72,4270.93,26.66,-65.66,0.71
1.02,0.75,4270.93,26.66,-65.66,0.71
1.07,0.75,4270.93,26.66,-65.66,0.71
1.07,0.74,4270.93,26.66,-65.66,0.71
1.09,0.72,4270.93,26.66,-65.66,0.71
1.09,0.71,4270.93,26.66,-65.66,0.71
1.09,0.73,4270.93,26.66,-65.66,0.71
1.01,0.71,4270.93,26.66,-65.66,0.71
1.02,0.73,4270.93,26.66,-65.66,0.71
1.03,0.72,4270.93,26.66,-65.66,0.71
1.03,0.71,4270.93,26.66,-65.66,0.71
1.04,0.76,4270.93,26.66,-65.66,0.71
1.04,0.71,4270.93,26.66,-65.66,0.71
1.04,0.72,4270.93,26.66,-65.66,0.71
1.04,0.74,4270.93,26.66,-65.66,0.71
1.03,0.73,4270.93,26.66,-65.66,0.71
1.03,0.75,4270.93,26.66,-65.66,0.71
1.03,0.74,4270.93,26.66,-65.66,0.71
