buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.03,0.83,200,12503.11,20.45,-62.55,0.57
1.03,0.82,200,11814.54,20.19,-63.45,0.56
1.04,0.83,200,11764.23,20.17,-62.38,0.56
1.0,0.83,250,11365.61,20.02,-62.29,0.56
1.0,0.84,250,11365.61,20.02,-62.29,0.56
1.03,0.81,200,11263.08,19.97,-63.45,0.56
1.04,0.82,200,11122.86,19.92,-63.26,0.56
1.0,0.81,250,10832.96,19.8,-62.29,0.56
1.0,0.82,250,10832.96,19.8,-62.29,0.56
1.05,0.83,200,10772.09,19.77,-62.38,0.56
1.03,0.8,200,10692.53,19.74,-64.72,0.55
1.04,0.81,200,10606.01,19.7,-63.26,0.55
1.06,0.82,150,10580.03,19.69,-62.93,0.55
1.05,0.82,200,10192.08,19.52,-63.26,0.55
1.06,0.81,150,10091.74,19.47,-62.93,0.55
1.04,0.8,200,10070.11,19.46,-64.53,0.55
1.07,0.82,150,10016.72,19.44,-63.0,0.55
1.02,0.83,200,9901.23,19.39,-61.87,0.55
1.0,0.8,250,9736.58,19.31,-63.29,0.55
1.05,0.81,200,9721.29,19.3,-63.26,0.55
1.01,0.83,250,9653.84,19.27,-62.13,0.55
1.01,0.84,250,9653.84,19.27,-62.13,0.55
1.07,0.81,150,9555.35,19.22,-63.0,0.54
1.02,0.82,200,9254.45,19.08,-62.66,0.54
1.05,0.8,200,9231.97,19.07,-64.53,0.54
1.0,0.86,250,9215.63,19.06,-59.89,0.54
1.01,0.81,250,9206.9,19.06,-62.13,0.54
1.01,0.82,250,9206.9,19.06,-62.13,0.54
1.06,0.8,150,9160.83,19.03,-64.19,0.54
1.01,0.83,200,9046.31,18.98,-64.9,0.54
1.05,0.82,150,8977.97,18.94,-66.23,0.54
1.07,0.77,150,8945.73,18.93,-71.69,0.53
1.06,0.77,150,8875.51,18.89,-71.59,0.53
1.02,0.81,200,8829.96,18.87,-62.66,0.54
1.07,0.8,150,8675.77,18.79,-64.26,0.53
1.0,0.79,250,8643.83,18.77,-67.04,0.53
1.06,0.83,200,8559.86,18.73,-62.13,0.53
1.05,0.81,150,8458.39,18.67,-66.5,0.53
1.08,0.77,150,8440.93,18.66,-71.51,0.53
1.01,0.82,200,8381.11,18.63,-65.44,0.53
1.0,0.85,250,8332.41,18.6,-59.89,0.53
1.02,0.83,250,8310.15,18.59,-62.13,0.53
1.02,0.84,250,8310.15,18.59,-62.13,0.53
1.01,0.8,250,8294.12,18.58,-62.98,0.53
1.02,0.8,200,8282.96,18.58,-63.85,0.53
1.0,0.76,250,8266.06,18.57,-71.5,0.53
1.0,0.75,250,8266.06,18.57,-71.5,0.53
1.0,0.78,250,8260.43,18.57,-66.95,0.53
1.03,0.79,200,8176.13,18.52,-67.3,0.53
1.03,0.78,200,8176.13,18.52,-67.3,0.53
1.06,0.82,200,8116.46,18.49,-62.98,0.53
1.04,0.82,150,8036.13,18.44,-69.25,0.53
1.08,0.82,150,8006.24,18.42,-62.83,0.53
1.01,0.81,200,8000.5,18.42,-65.44,0.53
1.03,0.84,250,7962.87,18.4,-62.13,0.53
1.03,0.83,250,7962.87,18.4,-62.13,0.53
1.02,0.81,250,7929.72,18.38,-62.13,0.53
1.02,0.82,250,7929.72,18.38,-62.13,0.53
1.09,0.77,150,7914.88,18.37,-71.31,0.52
1.03,0.77,200,7848.58,18.34,-68.19,0.52
1.07,0.83,200,7816.12,18.32,-62.13,0.53
1.08,0.83,200,7816.12,18.32,-62.13,0.53
1.03,0.75,200,7801.26,18.31,-71.08,0.52
1.03,0.74,200,7801.26,18.31,-71.08,0.52
1.03,0.72,200,7801.26,18.31,-71.08,0.52
1.03,0.76,200,7801.26,18.31,-71.08,0.52
1.03,0.73,200,7801.26,18.31,-71.08,0.52
1.06,0.81,200,7748.36,18.28,-62.98,0.53
1.04,0.79,200,7709.74,18.26,-67.08,0.52
1.04,0.78,200,7709.74,18.26,-67.08,0.52
1.07,0.74,150,7704.97,18.25,-70.94,0.52
1.07,0.76,150,7704.97,18.25,-70.94,0.52
1.07,0.75,150,7704.97,18.25,-70.94,0.52
1.07,0.72,150,7704.97,18.25,-70.94,0.52
1.07,0.73,150,7704.97,18.25,-70.94,0.52
1.05,0.8,150,7687.2,18.24,-66.5,0.52
1.01,0.86,250,7681.38,18.24,-59.75,0.53
1.06,0.76,150,7648.5,18.22,-70.85,0.52
1.06,0.74,150,7648.5,18.22,-70.85,0.52
1.06,0.75,150,7648.5,18.22,-70.85,0.52
1.06,0.72,150,7648.5,18.22,-70.85,0.52
1.06,0.73,150,7648.5,18.22,-70.85,0.52
1.08,0.81,150,7644.24,18.22,-62.83,0.52
1.03,0.81,250,7599.64,18.19,-62.13,0.52
1.03,0.82,250,7599.64,18.19,-62.13,0.52
1.09,0.82,150,7506.82,18.14,-62.73,0.52
1.04,0.81,150,7503.73,18.13,-69.64,0.52
1.0,0.77,250,7457.24,18.11,-66.96,0.52
1.09,0.83,200,7442.56,18.1,-62.13,0.52
1.01,0.8,200,7433.04,18.09,-65.97,0.52
1.08,0.82,200,7418.39,18.08,-62.98,0.52
1.07,0.82,200,7418.39,18.08,-62.98,0.52
1.04,0.77,200,7402.7,18.07,-67.98,0.52
1.01,0.79,250,7375.8,18.06,-66.49,0.52
1.05,0.74,200,7363.1,18.05,-70.86,0.52
1.05,0.76,200,7363.1,18.05,-70.86,0.52
1.05,0.73,200,7363.1,18.05,-70.86,0.52
1.05,0.75,200,7363.1,18.05,-70.86,0.52
1.04,0.74,200,7363.1,18.05,-70.86,0.52
1.04,0.75,200,7363.1,18.05,-70.86,0.52
1.04,0.72,200,7363.1,18.05,-70.86,0.52
1.04,0.73,200,7363.1,18.05,-70.86,0.52
1.04,0.76,200,7363.1,18.05,-70.86,0.52
1.05,0.72,200,7363.1,18.05,-70.86,0.52
1.06,0.8,200,7362.87,18.05,-64.23,0.52
1.06,0.79,150,7349.7,18.04,-66.72,0.52
1.1,0.77,150,7321.77,18.02,-71.02,0.52
1.08,0.75,150,7276.17,18.0,-70.75,0.52
1.08,0.76,150,7276.17,18.0,-70.75,0.52
1.08,0.73,150,7276.17,18.0,-70.75,0.52
1.08,0.74,150,7276.17,18.0,-70.75,0.52
1.08,0.72,150,7276.17,18.0,-70.75,0.52
1.03,0.84,200,7260.26,17.99,-62.55,0.52
1.09,0.81,150,7169.11,17.93,-62.73,0.52
1.02,0.8,250,7157.46,17.92,-62.98,0.52
1.11,0.77,150,7150.11,17.92,-70.93,0.51
1.0,0.72,250,7125.31,17.9,-70.74,0.51
1.0,0.71,250,7125.31,17.9,-70.74,0.51
1.0,0.74,250,7125.31,17.9,-70.74,0.51
1.0,0.73,250,7125.31,17.9,-70.74,0.51
1.0,0.7,250,7125.31,17.9,-70.74,0.51
1.08,0.81,200,7084.77,17.88,-62.98,0.52
1.07,0.81,200,7084.77,17.88,-62.98,0.52
1.05,0.78,200,7080.01,17.87,-67.08,0.52
1.05,0.79,200,7080.01,17.87,-67.08,0.52
1.09,0.82,200,7067.49,17.87,-62.98,0.52
1.02,0.75,250,7061.51,17.86,-70.92,0.51
1.02,0.76,250,7061.51,17.86,-70.92,0.51
1.01,0.75,250,7061.51,17.86,-70.92,0.51
1.01,0.76,250,7061.51,17.86,-70.92,0.51
1.06,0.78,150,7059.54,17.86,-66.72,0.51
1.01,0.78,250,7051.22,17.86,-66.39,0.52
1.03,0.71,200,7043.86,17.85,-72.31,0.51
1.03,0.7,200,7043.86,17.85,-72.31,0.51
1.07,0.79,150,6964.49,17.8,-66.78,0.51
1.07,0.71,150,6957.48,17.8,-71.68,0.51
1.07,0.7,150,6957.48,17.8,-71.68,0.51
1.01,0.85,250,6956.04,17.79,-59.75,0.52
1.08,0.8,150,6951.52,17.79,-64.07,0.51
1.1,0.82,150,6943.09,17.79,-62.48,0.52
1.05,0.84,250,6919.24,17.77,-62.13,0.52
1.04,0.83,250,6919.24,17.77,-62.13,0.52
1.04,0.84,250,6919.24,17.77,-62.13,0.52
1.05,0.83,250,6919.24,17.77,-62.13,0.52
1.06,0.71,150,6906.84,17.76,-71.62,0.51
1.06,0.7,150,6906.84,17.76,-71.62,0.51
1.03,0.8,250,6863.81,17.73,-62.98,0.51
1.09,0.74,150,6828.93,17.71,-70.54,0.51
1.09,0.75,150,6828.93,17.71,-70.54,0.51
1.09,0.72,150,6828.93,17.71,-70.54,0.51
1.09,0.76,150,6828.93,17.71,-70.54,0.51
1.09,0.73,150,6828.93,17.71,-70.54,0.51
1.04,0.8,150,6826.0,17.71,-69.64,0.51
1.05,0.77,200,6800.29,17.69,-67.08,0.51
1.11,0.82,150,6780.09,17.68,-62.48,0.51
1.03,0.75,250,6773.69,17.68,-70.76,0.51
1.03,0.76,250,6773.69,17.68,-70.76,0.51
1.09,0.81,200,6751.12,17.66,-62.98,0.51
1.06,0.72,200,6748.2,17.66,-70.52,0.51
1.06,0.75,200,6748.2,17.66,-70.52,0.51
1.08,0.73,200,6748.2,17.66,-70.52,0.51
1.08,0.74,200,6748.2,17.66,-70.52,0.51
1.08,0.75,200,6748.2,17.66,-70.52,0.51
1.07,0.74,200,6748.2,17.66,-70.52,0.51
1.07,0.75,200,6748.2,17.66,-70.52,0.51
1.06,0.74,200,6748.2,17.66,-70.52,0.51
1.06,0.73,200,6748.2,17.66,-70.52,0.51
