buy,sell,total_ret,cagr,max_dd,sharpe
1.0,0.83,20518.8,39.56,-69.92,0.81
1.0,0.82,20518.8,39.56,-69.92,0.81
1.01,0.83,20324.08,39.48,-70.02,0.81
1.01,0.82,20324.08,39.48,-70.02,0.81
1.02,0.83,19865.1,39.28,-69.92,0.81
1.02,0.82,19865.1,39.28,-69.92,0.81
1.03,0.83,19430.53,39.09,-69.92,0.8
1.03,0.82,19430.53,39.09,-69.92,0.8
1.04,0.82,19430.53,39.09,-69.92,0.8
1.04,0.83,19430.53,39.09,-69.92,0.8
1.0,0.81,19329.77,39.04,-71.48,0.8
1.0,0.8,19174.38,38.97,-71.71,0.8
1.01,0.81,19146.28,38.96,-71.75,0.8
1.01,0.8,18992.36,38.89,-71.98,0.8
1.02,0.81,18713.77,38.76,-71.27,0.8
1.02,0.8,18563.31,38.69,-71.5,0.8
1.03,0.81,18304.26,38.57,-70.78,0.8
1.04,0.81,18304.26,38.57,-70.78,0.8
1.04,0.8,18157.07,38.5,-71.02,0.8
1.03,0.8,18157.07,38.5,-71.02,0.8
1.05,0.83,17518.47,38.2,-69.92,0.79
1.05,0.82,17518.47,38.2,-69.92,0.79
1.05,0.81,16502.46,37.68,-69.92,0.79
1.05,0.8,16369.69,37.61,-69.92,0.78
1.07,0.73,16044.34,37.44,-81.66,0.77
1.07,0.74,16044.34,37.44,-81.66,0.77
1.07,0.72,16044.34,37.44,-81.66,0.77
1.07,0.71,16044.34,37.44,-81.66,0.77
1.09,0.71,16044.34,37.44,-81.66,0.77
1.02,0.71,16044.34,37.44,-81.66,0.77
1.07,0.75,16044.34,37.44,-81.66,0.77
1.07,0.76,16044.34,37.44,-81.66,0.77
1.09,0.74,16044.34,37.44,-81.66,0.77
1.09,0.73,16044.34,37.44,-81.66,0.77
1.01,0.72,16044.34,37.44,-81.66,0.77
1.01,0.71,16044.34,37.44,-81.66,0.77
1.01,0.75,16044.34,37.44,-81.66,0.77
1.02,0.75,16044.34,37.44,-81.66,0.77
1.01,0.73,16044.34,37.44,-81.66,0.77
1.01,0.74,16044.34,37.44,-81.66,0.77
1.01,0.76,16044.34,37.44,-81.66,0.77
1.0,0.75,16044.34,37.44,-81.66,0.77
1.02,0.72,16044.34,37.44,-81.66,0.77
1.02,0.73,16044.34,37.44,-81.66,0.77
1.02,0.74,16044.34,37.44,-81.66,0.77
1.09,0.76,16044.34,37.44,-81.66,0.77
1.09,0.72,16044.34,37.44,-81.66,0.77
1.09,0.75,16044.34,37.44,-81.66,0.77
1.06,0.75,16044.34,37.44,-81.66,0.77
1.06,0.76,16044.34,37.44,-81.66,0.77
1.04,0.75,16044.34,37.44,-81.66,0.77
1.04,0.72,16044.34,37.44,-81.66,0.77
1.04,0.73,16044.34,37.44,-81.66,0.77
1.04,0.74,16044.34,37.44,-81.66,0.77
1.05,0.76,16044.34,37.44,-81.66,0.77
1.05,0.75,16044.34,37.44,-81.66,0.77
1.05,0.74,16044.34,37.44,-81.66,0.77
1.05,0.73,16044.34,37.44,-81.66,0.77
1.05,0.72,16044.34,37.44,-81.66,0.77
1.05,0.71,16044.34,37.44,-81.66,0.77
1.08,0.75,16044.34,37.44,-81.66,0.77
1.06,0.72,16044.34,37.44,-81.66,0.77
1.06,0.73,16044.34,37.44,-81.66,0.77
1.06,0.74,16044.34,37.44,-81.66,0.77
1.04,0.71,16044.34,37.44,-81.66,0.77
1.06,0.71,16044.34,37.44,-81.66,0.77
1.03,0.71,16044.34,37.44,-81.66,0.77
1.03,0.72,16044.34,37.44,-81.66,0.77
1.03,0.74,16044.34,37.44,-81.66,0.77
1.02,0.76,16044.34,37.44,-81.66,0.77
1.04,0.76,16044.34,37.44,-81.66,0.77
1.03,0.75,16044.34,37.44,-81.66,0.77
1.03,0.76,16044.34,37.44,-81.66,0.77
1.03,0.73,16044.34,37.44,-81.66,0.77
1.0,0.71,16044.34,37.44,-81.66,0.77
1.08,0.74,16044.34,37.44,-81.66,0.77
1.08,0.73,16044.34,37.44,-81.66,0.77
1.08,0.76,16044.34,37.44,-81.66,0.77
1.0,0.74,16044.34,37.44,-81.66,0.77
1.0,0.73,16044.34,37.44,-81.66,0.77
1.08,0.72,16044.34,37.44,-81.66,0.77
1.08,0.71,16044.34,37.44,-81.66,0.77
1.0,0.72,16044.34,37.44,-81.66,0.77
1.0,0.76,16044.34,37.44,-81.66,0.77
1.0,0.79,15492.46,37.14,-77.11,0.77
1.0,0.78,15492.46,37.14,-77.11,0.77
1.01,0.79,15345.21,37.06,-77.33,0.77
1.01,0.78,15345.21,37.06,-77.33,0.77
1.02,0.78,14998.12,36.87,-76.95,0.77
1.02,0.79,14998.12,36.87,-76.95,0.77
1.06,0.83,14810.68,36.76,-69.92,0.77
1.06,0.82,14810.68,36.76,-69.92,0.77
1.04,0.79,14669.48,36.68,-76.55,0.77
1.04,0.78,14669.48,36.68,-76.55,0.77
1.03,0.78,14669.48,36.68,-76.55,0.77
1.03,0.79,14669.48,36.68,-76.55,0.77
1.0,0.77,14668.25,36.68,-78.32,0.77
1.1,0.76,14557.28,36.61,-81.66,0.76
1.1,0.72,14557.28,36.61,-81.66,0.76
1.1,0.75,14557.28,36.61,-81.66,0.76
1.1,0.74,14557.28,36.61,-81.66,0.76
1.1,0.73,14557.28,36.61,-81.66,0.76
1.1,0.71,14557.28,36.61,-81.66,0.76
1.01,0.77,14528.78,36.6,-78.53,0.77
1.02,0.77,14200.04,36.4,-78.17,0.77
1.06,0.81,13950.82,36.25,-69.92,0.77
1.04,0.77,13888.77,36.22,-77.79,0.76
1.03,0.77,13888.77,36.22,-77.79,0.76
1.06,0.8,13838.45,36.18,-69.92,0.77
1.11,0.72,13799.56,36.16,-81.66,0.75
1.11,0.75,13799.56,36.16,-81.66,0.75
1.11,0.71,13799.56,36.16,-81.66,0.75
1.11,0.73,13799.56,36.16,-81.66,0.75
1.11,0.74,13799.56,36.16,-81.66,0.75
1.11,0.76,13799.56,36.16,-81.66,0.75
1.09,0.82,13224.87,35.8,-70.73,0.76
1.09,0.83,13224.87,35.8,-70.73,0.76
1.07,0.82,13224.87,35.8,-70.73,0.76
1.07,0.83,13224.87,35.8,-70.73,0.76
1.08,0.83,13224.87,35.8,-70.73,0.76
1.08,0.82,13224.87,35.8,-70.73,0.76
1.05,0.79,13223.53,35.8,-74.92,0.76
1.05,0.78,13223.53,35.8,-74.92,0.76
1.12,0.75,13094.31,35.72,-81.66,0.75
1.12,0.74,13094.31,35.72,-81.66,0.75
1.12,0.73,13094.31,35.72,-81.66,0.75
1.13,0.73,13094.31,35.72,-81.66,0.75
1.13,0.76,13094.31,35.72,-81.66,0.75
1.12,0.71,13094.31,35.72,-81.66,0.75
1.12,0.76,13094.31,35.72,-81.66,0.75
1.13,0.72,13094.31,35.72,-81.66,0.75
1.12,0.72,13094.31,35.72,-81.66,0.75
1.13,0.75,13094.31,35.72,-81.66,0.75
1.13,0.74,13094.31,35.72,-81.66,0.75
1.13,0.71,13094.31,35.72,-81.66,0.75
1.05,0.77,12519.26,35.34,-76.24,0.75
1.09,0.81,12456.46,35.3,-72.42,0.75
1.08,0.81,12456.46,35.3,-72.42,0.75
1.07,0.81,12456.46,35.3,-72.42,0.75
1.07,0.8,12356.05,35.23,-72.64,0.75
1.08,0.8,12356.05,35.23,-72.64,0.75
1.09,0.8,12356.05,35.23,-72.64,0.75
1.1,0.82,11997.51,34.98,-70.73,0.75
1.1,0.83,11997.51,34.98,-70.73,0.75
1.11,0.83,11372.13,34.54,-70.73,0.75
1.11,0.82,11372.13,34.54,-70.73,0.75
1.1,0.81,11299.89,34.48,-72.42,0.74
1.1,0.8,11208.72,34.42,-72.64,0.74
1.06,0.78,11175.83,34.39,-75.23,0.74
1.06,0.79,11175.83,34.39,-75.23,0.74
1.12,0.83,10790.04,34.1,-70.73,0.74
1.12,0.82,10790.04,34.1,-70.73,0.74
1.13,0.82,10790.04,34.1,-70.73,0.74
1.13,0.83,10790.04,34.1,-70.73,0.74
1.0,0.84,10762.52,34.08,-74.14,0.74
1.11,0.81,10710.56,34.04,-72.42,0.74
1.01,0.84,10659.94,34.0,-74.14,0.74
1.11,0.8,10624.11,33.97,-72.64,0.74
1.06,0.77,10579.8,33.93,-76.54,0.73
1.02,0.84,10418.14,33.81,-74.14,0.74
1.13,0.81,10162.04,33.6,-72.42,0.73
1.12,0.81,10162.04,33.6,-72.42,0.73
1.12,0.8,10079.98,33.53,-72.64,0.73
