buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.03,0.83,200,68031.67,28.53,-76.37,0.67
1.04,0.83,200,63227.1,28.17,-76.37,0.66
1.03,0.82,200,61763.23,28.06,-78.55,0.66
1.0,0.84,250,60698.96,27.97,-76.37,0.66
1.0,0.83,250,60698.96,27.97,-76.37,0.66
1.03,0.81,200,58195.75,27.76,-78.55,0.66
1.04,0.82,200,57400.7,27.7,-78.55,0.66
1.0,0.81,250,57192.85,27.68,-76.37,0.66
1.0,0.82,250,57192.85,27.68,-76.37,0.66
1.05,0.83,200,57027.31,27.66,-76.37,0.66
1.03,0.8,200,55025.19,27.49,-79.55,0.65
1.04,0.81,200,54084.8,27.41,-78.55,0.65
1.06,0.82,150,53297.31,27.33,-78.2,0.65
1.05,0.82,200,51771.32,27.19,-78.55,0.65
1.02,0.83,200,51566.32,27.17,-76.37,0.65
1.04,0.8,200,51137.82,27.13,-79.55,0.65
1.07,0.82,150,50356.44,27.06,-78.2,0.65
1.06,0.81,150,50218.04,27.04,-78.2,0.64
1.01,0.83,250,49866.12,27.01,-76.1,0.65
1.01,0.84,250,49866.12,27.01,-76.1,0.65
1.05,0.81,200,48780.05,26.9,-78.55,0.64
1.0,0.8,250,48557.23,26.88,-78.55,0.64
1.07,0.81,150,47446.76,26.77,-78.2,0.64
1.01,0.82,250,46984.72,26.72,-76.1,0.64
1.01,0.81,250,46984.72,26.72,-76.1,0.64
1.0,0.86,250,46505.4,26.67,-73.44,0.64
1.02,0.82,200,46157.65,26.63,-78.55,0.64
1.05,0.8,200,46121.58,26.63,-79.55,0.64
1.01,0.83,200,45856.8,26.6,-76.13,0.64
1.06,0.8,150,44762.91,26.48,-79.21,0.64
1.05,0.82,150,43571.29,26.35,-78.2,0.63
1.02,0.81,200,43490.1,26.34,-78.55,0.63
1.06,0.83,200,43227.5,26.31,-76.37,0.64
1.07,0.8,150,42292.07,26.21,-79.21,0.63
1.07,0.77,150,42169.84,26.19,-81.66,0.63
1.02,0.83,250,41742.05,26.14,-76.1,0.63
1.02,0.84,250,41742.05,26.14,-76.1,0.63
1.0,0.79,250,41647.55,26.13,-78.55,0.63
1.06,0.77,150,41425.65,26.11,-81.66,0.63
1.0,0.85,250,40997.85,26.06,-73.44,0.63
1.02,0.8,200,40565.99,26.01,-79.55,0.63
1.01,0.82,200,40561.91,26.01,-78.32,0.63
1.05,0.81,150,40474.52,26.0,-78.2,0.63
1.01,0.8,250,39887.75,25.92,-78.3,0.63
1.0,0.78,250,39695.25,25.9,-79.55,0.63
1.03,0.84,250,39631.6,25.89,-75.5,0.63
1.03,0.83,250,39631.6,25.89,-75.5,0.63
1.03,0.79,200,39603.51,25.89,-81.79,0.63
1.03,0.78,200,39603.51,25.89,-81.79,0.63
1.08,0.77,150,39349.62,25.86,-81.66,0.62
1.02,0.81,250,39329.13,25.86,-76.1,0.63
1.02,0.82,250,39329.13,25.86,-76.1,0.63
1.06,0.82,200,39241.16,25.85,-78.55,0.63
1.0,0.76,250,38628.52,25.77,-81.79,0.62
1.0,0.75,250,38628.52,25.77,-81.79,0.62
1.08,0.83,200,38619.46,25.77,-76.37,0.63
1.07,0.83,200,38619.46,25.77,-76.37,0.63
1.08,0.82,150,38265.47,25.72,-78.2,0.63
1.01,0.81,200,38217.05,25.72,-78.32,0.62
1.04,0.82,150,37815.97,25.67,-77.84,0.62
1.03,0.77,200,37504.8,25.63,-81.79,0.62
1.03,0.82,250,37340.39,25.61,-75.5,0.62
1.03,0.81,250,37340.39,25.61,-75.5,0.62
1.01,0.86,250,37194.68,25.59,-74.14,0.63
1.06,0.81,200,36972.46,25.56,-78.55,0.62
1.04,0.78,200,36803.66,25.54,-81.79,0.62
1.04,0.79,200,36803.66,25.54,-81.79,0.62
1.09,0.77,150,36453.14,25.49,-81.66,0.62
1.09,0.83,200,36341.11,25.48,-76.37,0.62
1.05,0.8,150,36075.71,25.44,-79.21,0.62
1.08,0.81,150,36053.04,25.44,-78.2,0.62
1.09,0.82,150,35448.6,25.36,-78.19,0.62
1.0,0.77,250,35330.39,25.34,-81.79,0.62
1.01,0.8,200,35232.13,25.33,-79.34,0.62
1.03,0.84,200,35138.2,25.31,-76.37,0.62
1.08,0.82,200,35057.08,25.3,-78.55,0.62
1.07,0.82,200,35057.08,25.3,-78.55,0.62
1.03,0.74,200,35035.29,25.3,-85.26,0.62
1.03,0.72,200,35035.29,25.3,-85.26,0.62
1.03,0.76,200,35035.29,25.3,-85.26,0.62
1.03,0.75,200,35035.29,25.3,-85.26,0.62
1.03,0.73,200,35035.29,25.3,-85.26,0.62
1.06,0.8,200,34956.18,25.29,-79.55,0.62
1.04,0.77,200,34852.95,25.27,-81.79,0.62
1.04,0.81,150,34741.03,25.26,-77.84,0.62
1.01,0.79,250,34209.19,25.18,-78.3,0.62
1.06,0.79,150,34170.12,25.18,-81.49,0.62
1.07,0.73,150,34120.81,25.17,-85.02,0.61
1.07,0.72,150,34120.81,25.17,-85.02,0.61
1.07,0.76,150,34120.81,25.17,-85.02,0.61
1.07,0.74,150,34120.81,25.17,-85.02,0.61
1.07,0.75,150,34120.81,25.17,-85.02,0.61
1.06,0.72,150,33518.33,25.09,-85.02,0.61
1.06,0.76,150,33518.33,25.09,-85.02,0.61
1.06,0.74,150,33518.33,25.09,-85.02,0.61
1.06,0.75,150,33518.33,25.09,-85.02,0.61
1.06,0.73,150,33518.33,25.09,-85.02,0.61
1.09,0.81,150,33398.61,25.07,-78.19,0.62
1.02,0.8,250,33386.07,25.07,-78.3,0.62
1.04,0.83,250,33275.6,25.05,-75.5,0.62
1.05,0.83,250,33275.6,25.05,-75.5,0.62
1.04,0.84,250,33275.6,25.05,-75.5,0.62
1.05,0.84,250,33275.6,25.05,-75.5,0.62
1.05,0.78,200,33190.75,25.04,-81.79,0.62
1.05,0.79,200,33190.75,25.04,-81.79,0.62
1.1,0.77,150,33061.95,25.02,-81.66,0.61
1.08,0.81,200,33029.67,25.02,-78.55,0.62
1.07,0.81,200,33029.67,25.02,-78.55,0.62
1.09,0.82,200,32988.36,25.01,-78.54,0.62
1.01,0.85,250,32787.41,24.98,-74.14,0.62
1.01,0.78,250,32604.74,24.95,-79.31,0.61
1.05,0.74,200,32557.59,24.95,-85.26,0.61
1.05,0.76,200,32557.59,24.95,-85.26,0.61
1.04,0.75,200,32557.59,24.95,-85.26,0.61
1.04,0.76,200,32557.59,24.95,-85.26,0.61
1.05,0.75,200,32557.59,24.95,-85.26,0.61
1.05,0.73,200,32557.59,24.95,-85.26,0.61
1.04,0.73,200,32557.59,24.95,-85.26,0.61
1.04,0.74,200,32557.59,24.95,-85.26,0.61
1.04,0.72,200,32557.59,24.95,-85.26,0.61
1.05,0.72,200,32557.59,24.95,-85.26,0.61
1.06,0.78,150,32358.62,24.92,-81.49,0.61
1.07,0.79,150,32282.69,24.91,-81.49,0.61
1.1,0.82,150,32150.6,24.89,-78.19,0.61
1.08,0.8,150,32133.58,24.88,-79.21,0.61
